,price
0,215000
1,105000
2,172000
3,244000
4,189900
5,195500
6,213500
7,191500
8,236500
9,189000
10,175900
11,185000
12,180400
13,171500
14,212000
15,538000
16,164000
17,394432
18,141000
19,210000
20,190000
21,170000
22,216000
23,149000
24,149900
25,142000
26,126000
27,115000
28,184000
29,96000
30,105500
31,88000
32,127500
33,149900
34,120000
35,146000
36,376162
37,306000
38,395192
39,290941
40,220000
41,275000
42,259000
43,214000
44,611657
45,224000
46,500000
47,320000
48,319900
49,205000
50,175500
51,199500
52,160000
53,192000
54,184500
55,216500
56,185088
57,180000
58,222500
59,333168
60,355000
61,260400
62,325000
63,290000
64,221000
65,410000
66,221500
67,204500
68,215200
69,262500
70,254900
71,271500
72,233000
73,181000
74,205000
75,143000
76,189000
77,99500
78,125000
79,194500
80,152000
81,171000
82,67500
83,112000
84,148000
85,138500
86,122000
87,133000
88,127000
89,169000
90,190000
91,362500
92,285000
93,260000
94,190000
95,155000
96,151000
97,149500
98,152000
99,222000
100,177500
101,177000
102,155000
103,147110
104,267916
105,254000
106,155000
107,206000
108,130500
109,230000
110,218500
111,243500
112,205000
113,212500
114,196500
115,197500
116,171000
117,142250
118,143000
119,128950
120,159000
121,178900
122,136300
123,180500
124,137500
125,84900
126,142125
127,197600
128,172500
129,116500
130,76500
131,128000
132,153000
133,132000
134,178000
135,154300
136,180000
137,190000
138,135000
139,214000
140,136000
141,165500
142,145000
143,148000
144,142000
145,167500
146,108538
147,159500
148,108000
149,135000
150,122500
151,119000
152,109000
153,105000
154,107500
155,144900
156,129000
157,97500
158,144000
159,162000
160,242000
161,132000
162,154000
163,166000
164,134800
165,160000
166,148000
167,192000
168,155000
169,80400
170,96500
171,109500
172,115000
173,143000
174,107400
175,80000
176,119000
177,130000
178,119000
179,129000
180,100000
181,12789
182,105900
183,150000
184,139000
185,240000
186,76500
187,149700
188,125500
189,122500
190,140750
191,128500
192,209500
193,87000
194,134000
195,128000
196,132000
197,139900
198,123900
199,138400
200,109500
201,140000
202,149500
203,159900
204,122000
205,110000
206,55000
207,140000
208,244400
209,173000
210,107500
211,100000
212,95000
213,93369
214,114900
215,94000
216,136000
217,136500
218,131500
219,121500
220,125000
221,154000
222,137900
223,158000
224,137250
225,160250
226,163000
227,158900
228,328000
229,270000
230,85000
231,128000
232,260000
233,230000
234,124000
235,83000
236,144500
237,129000
238,127000
239,128000
240,186000
241,308030
242,114000
243,84900
244,178000
245,270000
246,218000
247,236000
248,147000
249,245350
250,206000
251,198900
252,187000
253,320000
254,138500
255,155000
256,159000
257,191000
258,200500
259,150000
260,161750
261,128200
262,127000
263,318000
264,272000
265,237000
266,240000
267,224900
268,143750
269,143000
270,232000
271,213000
272,185500
273,84900
274,155891
275,100000
276,144000
277,64000
278,125200
279,107000
280,90000
281,140000
282,113000
283,80000
284,144500
285,104000
286,128000
287,58500
288,127000
289,126000
290,160000
291,100000
292,169000
293,257500
294,215000
295,266500
296,335000
297,203135
298,185000
299,162500
300,289000
301,125500
302,82000
303,110000
304,68400
305,102776
306,55993
307,50138
308,246000
309,254900
310,190000
311,201000
